,"AL","AD","AT","BY","BE","BA","BG","HR","CZ","DK","EE","FI","FR","DE","VA","HU","IS","IE","IT","LV","LI","LT","LU","MK","MT","MD","MC","ME","NL","NO","PL","PT","RO","RU","SM","RS","SK","SI","ES","SE","CH","TR","UA","GB","GR"
"RU",232,0,2950,763879,469,513,5836,319,11249,229,58718,2207,2564,141947,0,16831,42,173,1894,89338,0,71038,34,253,52,294152,43,261,546,699,29190,230,3908,0,44,0,1830,348,1392,473,578,10230,3268263,1739,1950
"SM",39,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4749,0,0,0,0,0,0,0,0,0,0,0,32,0,145,38,0,0,0,0,0,0,0,0,68,0,0
"RS",475,0,7132,135,220,342526,1155,288708,523,184,0,33,5490,16392,0,1833,0,51,1958,0,0,27,90,47637,52,233,0,72596,764,139,675,38,3675,2999,0,0,484,11139,159,1212,2910,394,1297,658,930
"SK",133,0,4722,262,1029,463,2596,1242,89560,326,69,208,3043,6202,2,16291,97,1494,3918,199,7,199,90,883,45,183,5,41,780,1097,7367,283,9763,3098,0,2463,0,380,1304,342,1045,405,11582,9187,649
"SI",146,0,2814,213,331,122235,1398,46599,382,69,24,39,1182,7682,0,467,4,58,4511,64,6,46,39,19133,7,394,0,3541,374,30,399,64,442,3572,0,47393,577,0,204,339,978,237,2806,740,127
"ES",2615,7964,11936,5245,51896,2858,119741,2272,11539,11659,2529,13200,221373,200659,0,12548,1513,16100,153583,5381,153,16492,1921,845,420,21738,315,225,51778,15024,63466,108063,613336,96126,48,5264,9849,1382,0,21562,65924,5356,106373,303193,5373
"SE",5724,4,5901,3407,3073,60912,9869,11446,2309,41033,10351,151661,11443,52446,0,17227,6144,2914,13527,8434,4,15107,386,8571,203,1232,47,1254,12402,42813,95128,4253,31831,22166,4,23696,1907,1411,12579,0,4123,51223,10176,29715,19399
"CH",4323,119,59494,1662,17370,57678,8600,19872,15522,5537,854,5466,170155,357112,6,26259,448,4093,270077,2541,2263,2477,2422,69612,312,2688,329,2932,23521,2243,40957,218672,24386,24722,26,66207,20099,6516,68909,9520,0,80729,10631,45951,14784
"TR",4554,0,19717,410,12035,3253,661438,303,1557,4627,153,2295,21973,376288,0,713,56,737,3908,86,0,355,59,198004,56,3206,0,0,30017,4886,4695,305,28522,27319,0,0,428,199,1661,7335,14260,0,5745,26016,81457
"UA",0,0,0,249641,0,0,1760,0,0,0,10392,0,0,1099,0,0,0,0,0,19821,0,24825,0,0,0,152249,0,0,0,0,3128,0,0,3330586,0,0,0,0,0,0,0,1376,0,0,0
"GB",10458,53,21163,3635,31425,9576,103196,8610,45578,26960,12967,20999,170270,310043,0,82667,2370,370151,254054,86007,33,190342,3314,2776,29600,2370,406,1162,81375,20224,835975,141916,393569,36203,0,9343,72209,3668,150892,35824,23649,97205,22119,0,75441
"GR",446614,1,2295,1485,5225,446,74359,435,4516,917,130,784,6826,116644,0,1761,53,600,6426,357,7,554,139,2210,89,10248,43,0,3819,525,15975,328,47120,55281,0,4467,876,130,1202,5526,3769,34081,19846,18033,0
